building_name,building_irn,school_year,enrollment,value_added_composite,performance_index_score
Franklin D. Roosevelt,021543,2022-2023,416,-1.08,35.8
Bolton,003137,2022-2023,205,-2.88,36.2
Alfred Benesch,005637,2022-2023,241,-3.72,36.8
Whitney M Young,005942,2022-2023,315,-7.02,37
John F Kennedy High School,014919,2022-2023,611,-3.54,37.1
Mound Elementary School,025650,2022-2023,378,-1.84,37.3
Natividad Pagan International Newcomers Academy,037101,2022-2023,707,3.54,37.3
Sunbeam,036475,2022-2023,443,-0.47,38.2
Luis Munoz Marin School,062760,2022-2023,454,-1.35,38.7
Anton Grdina,000828,2022-2023,341,0.93,38.9
