building_name,building_irn,school_year,enrollment,value_added_composite,performance_index_score
Menlo Park Academy,000318,2022-2023,502,-3.32,99.4
Cleveland School of Science & Medicine,147397,2022-2023,397,16.8,90.1
Cleveland Early College High,018408,2022-2023,283,13.36,85.9
Near West Intergenerational School,012030,2022-2023,213,2.77,83.9
Cleveland School of Architecture & Design,019406,2022-2023,267,7.15,82.7
Douglas MacArthur,009285,2022-2023,265,4.68,82.1
Campus International School,012350,2022-2023,693,1.18,79.8
Cleveland School Of The Arts High School,064576,2022-2023,385,8.79,78.4
Bard Early College Cleveland,014920,2022-2023,364,-12.07,78.1
Northwest School of the Arts,000575,2022-2023,184,4.96,74.5
