building_name,building_irn,school_year,enrollment,value_added_composite,performance_index_score
Adlai Stevenson School,000224,2020-2021,406,NA,34.303
Adlai Stevenson School,000224,2021-2022,473,-0.44,44.4
Adlai Stevenson School,000224,2022-2023,445,-3.24,43.2
Albert Bushnell Hart,012682,2020-2021,213,NA,33.986
Albert Bushnell Hart,012682,2021-2022,233,4.79,47.7
Albert Bushnell Hart,012682,2022-2023,248,4.7,54.6
Alfred Benesch,005637,2020-2021,244,NA,28.4
Alfred Benesch,005637,2021-2022,233,-1.05,36.6
Alfred Benesch,005637,2022-2023,241,-3.72,36.8
Almira,000489,2020-2021,495,NA,31.314
Almira,000489,2021-2022,528,1.08,45.6
Almira,000489,2022-2023,504,3.61,48.7
Andrew J Rickoff,000729,2020-2021,431,NA,28.922
Andrew J Rickoff,000729,2021-2022,414,0.3,41.6
Andrew J Rickoff,000729,2022-2023,448,3.28,48.8
Anton Grdina,000828,2020-2021,320,NA,34.5
Anton Grdina,000828,2021-2022,315,0.76,39.3
Anton Grdina,000828,2022-2023,341,0.93,38.9
Artemus Ward,001040,2020-2021,468,NA,43.39
Artemus Ward,001040,2021-2022,495,1.54,50.4
Artemus Ward,001040,2022-2023,490,3.36,54.3
Bard Early College Cleveland,014920,2020-2021,434,NA,57.833
Bard Early College Cleveland,014920,2021-2022,394,-11.52,71.2
Bard Early College Cleveland,014920,2022-2023,364,-12.07,78.1
Benjamin Franklin,002378,2020-2021,457,NA,42.542
Benjamin Franklin,002378,2021-2022,443,2.56,55.4
Benjamin Franklin,002378,2022-2023,464,-0.89,53.4
Bolton,003137,2020-2021,228,NA,32.047
Bolton,003137,2021-2022,195,-2.3,36.5
Bolton,003137,2022-2023,205,-2.88,36.2
Buhrer,004234,2020-2021,413,NA,55.975
Buhrer,004234,2021-2022,403,8.1,69.2
Buhrer,004234,2022-2023,412,8.85,74.1
Campus International High School,016886,2020-2021,361,NA,44.013
Campus International High School,016886,2021-2022,323,-0.89,56.3
Campus International High School,016886,2022-2023,275,-3.15,55.6
Campus International School,012350,2020-2021,733,NA,63.755
Campus International School,012350,2021-2022,693,6.45,80
Campus International School,012350,2022-2023,693,1.18,79.8
Charles A Mooney School,005892,2020-2021,365,NA,44.217
Charles A Mooney School,005892,2021-2022,316,0.71,56.5
Charles A Mooney School,005892,2022-2023,331,-0.63,57.6
Charles Dickens School,005900,2020-2021,260,NA,31.429
Charles Dickens School,005900,2021-2022,259,0.5,40.2
Charles Dickens School,005900,2022-2023,274,2.02,42.8
Citizens Academy,133520,2020-2021,312,NA,12.313
